option,option_return,score,loss,epsilon,eval_clears
56,-2.7647833707595897,341,0.0,0.99867,
114,0.4408456723236435,341,0.0,0.9972925,
167,-2.78512555229392,338,0.0,0.99603375,
222,0.7414426288183874,462,0.0,0.9947275,
277,0.6584986695511073,335,0.0,0.99342125,
332,-2.7237483323007914,332,0.0,0.992115,
383,-2.7209579114149407,323,0.0,0.99090375,
436,-2.7292457404880057,187,0.0,0.989645,
491,2.2680101064499425,193,0.0,0.98833875,
548,-2.697595564330978,320,0.0,0.986985,
604,-2.7526613141061316,341,0.0,0.985655,
658,-2.7319532830831257,341,0.0,0.9843725,
713,2.10948765355483,332,0.0,0.98306625,
765,-2.7372874127497715,341,0.0,0.98183125,
821,0.849685975775856,302,0.0,0.98050125,
877,0.38790597449481856,459,0.0,0.97917125,
927,30.668687207732788,592,0.0,0.97798375,
980,-2.675554470136574,453,0.0,0.976725,
1036,-2.6787989254352085,341,59.075843811035156,0.975395,
1085,0.8872420934352171,447,60.11811828613281,0.97423125,
1141,-2.7152922267268043,477,31.039932250976562,0.97290125,
1198,-2.7006196086876684,326,20.117589950561523,0.9715475,
1254,0.6085786510513914,471,42.23517990112305,0.9702175,
1309,0.9255607524081388,447,27.45083236694336,0.96891125,
1361,-2.6883389185508575,444,24.96044158935547,0.96767625,
1414,0.9063051448840576,447,29.653545379638672,0.9664175,
1471,-2.668966911678986,190,27.248355865478516,0.96506375,
1519,0.5192991465874577,462,36.8674201965332,0.96392375,
1574,-2.697595564330978,489,19.296100616455078,0.9626175,
1628,-2.7036134126007916,193,35.10612106323242,0.961335,
1684,-2.7124163906331358,305,30.90890884399414,0.960005,
1742,2.507081577373837,341,28.355850219726562,0.9586275,
1794,-2.668966911678986,456,18.381175994873047,0.9573925,
1848,0.7596905212246526,453,40.30300521850586,0.95611,
1901,-2.7647833707595897,483,21.129436492919922,0.95485125,
1955,0.705089698818565,193,28.51496124267578,0.95356875,
2012,0.7420936160124063,459,20.46813201904297,0.952215,
2063,31.315965836967763,592,12.536881446838379,0.95100375,
2119,1.0754911039574604,338,15.625370979309082,0.94967375,
2174,2.0067756933803738,332,12.191194534301758,0.9483675,
2232,-2.665623143110087,335,17.710166931152344,0.94699,
2288,-2.6820109361808564,341,23.45307159423828,0.94566,
2345,2.320048245579476,317,9.286430358886719,0.94430625,
2402,0.5999248037219176,462,16.749691009521484,0.9429525,
2459,-2.7209579114149407,338,16.131750106811523,0.94159875,
2512,-2.6883389185508575,341,23.780282974243164,0.94034,
2570,26.612932367642333,444,35.6516227722168,0.9389625,
2623,-2.668966911678986,335,13.064962387084961,0.9377037500000001,
2684,0.9255607524081388,459,25.5441837310791,0.936255,
2737,2.0388920807869377,465,31.98358917236328,0.93499625,
2793,-2.718139304459536,193,12.492794036865234,0.93366625,
2847,0.27382902962668765,483,13.066226959228516,0.93238375,
2901,-2.7372874127497715,338,15.96275520324707,0.93110125,
2957,-2.697595564330978,323,19.276792526245117,0.9297712499999999,
3010,-2.685190826819048,332,25.211353302001953,0.9285125,
3063,0.3351592659912701,305,13.279083251953125,0.92725375,
3118,1.5174522383418527,338,22.0816707611084,0.9259475,
3169,28.52119216116216,444,13.096794128417969,0.92473625,
3221,-2.7036134126007916,187,17.08029556274414,0.92350125,
3276,0.7774651729541947,483,13.745071411132812,0.922195,
3329,-2.668966911678986,480,19.39090347290039,0.92093625,
3384,-2.675554470136574,480,22.859981536865234,0.91963,
3436,33.0578484517628,444,20.813304901123047,0.918395,
3490,-2.668966911678986,447,17.83900260925293,0.9171125,
3544,-2.6820109361808564,193,19.873886108398438,0.91583,
3598,-2.7209579114149407,193,13.358091354370117,0.9145475,
3655,-2.668966911678986,338,35.92115020751953,0.91319375,
3707,-2.7006196086876684,459,22.263198852539062,0.91195875,
3764,-2.7476393369106535,335,7.6374735832214355,0.910605,
3817,-2.706577278474784,338,24.57085418701172,0.90934625,
3874,2.3436247827356986,329,19.00257110595703,0.9079925,
3926,-2.668966911678986,341,14.68735122680664,0.9067575,
3980,0.7432542942429727,320,18.4776611328125,0.905475,
4033,-2.7209579114149407,335,16.690876007080078,0.90421625,
4089,-2.6945409740716952,314,30.127073287963867,0.90288625,
4143,-2.7152922267268043,341,19.023101806640625,0.90160375,
4198,-2.7526613141061316,329,12.94603157043457,0.9002975,
4251,-2.6820109361808564,335,8.761560440063477,0.89903875,
4308,0.5109639375701988,326,15.163690567016602,0.897685,
4361,44.476983077733145,444,16.054576873779297,0.89642625,
4415,0.9845024599717602,332,18.116119384765625,0.89514375,
4468,3.9444708936630044,332,25.5223445892334,0.893885,
4520,0.8879475834780748,489,21.783735275268555,0.8926499999999999,
4574,-2.7600075204158654,483,4.013497352600098,0.8913675,
4628,-2.718139304459536,317,16.511093139648438,0.890085,
4684,0.6863448469937061,474,34.37660217285156,0.888755,
4741,1.754701020968884,450,13.63872241973877,0.88740125,
4792,34.47113742426738,444,24.590665817260742,0.88619,
4844,-2.742515393236051,483,10.414770126342773,0.884955,
4897,0.34296232285461736,317,19.541370391845703,0.88369625,
4951,0.849685975775856,462,13.315847396850586,0.88241375,
5000,,,22.682373046875,0.88125,2.533333333333333
5003,-2.709511505690036,341,18.932647705078125,0.88117875,
5054,-2.709511505690036,193,12.84246826171875,0.8799675,
5104,0.776800968083244,610,16.337818145751953,0.87878,
5154,-2.7237483323007914,332,24.411823272705078,0.8775925,
5207,0.6897200412998525,335,17.291982650756836,0.87633375,
5263,2.0411456484921717,483,20.192941665649414,0.87500375,
5318,-2.691455529365349,338,16.15507698059082,0.8736975,
5369,-2.697595564330978,341,5.667660236358643,0.87248625,
5425,0.7947484526093375,450,11.848036766052246,0.8711562500000001,
5480,4.538768459671266,320,6.127631187438965,0.86985,
5533,-2.697595564330978,320,10.072784423828125,0.86859125,
5585,0.6412393133878087,323,9.840483665466309,0.86735625,
5641,0.9228704356277514,341,11.293800354003906,0.86602625,
5697,0.8311891160180975,468,20.34090232849121,0.8646962499999999,
5751,-2.7476393369106535,489,12.052457809448242,0.86341375,
